,flight_name,recall_1,speed
0,IHTAR_20210318_R1_DT_11_48,0.6930379746835443,Pos_v_0_5
1,IHTAR_20210321_R1_Part2_DT_12_47,0.4926829268292683,Pos_v_0_5
2,IHTAR_20210321_R1_Part2_DT_14_08,0.9949494949494949,Pos_v_0_5
3,IHTAR_20210321_R1_Part2_DT_14_14,0.6122448979591837,Pos_v_0_5
4,IHTAR_20210413_DT_12_06,0.8603603603603603,Pos_v_0_5
5,IHTAR_20210413_DT_13_25,0.8765432098765432,Pos_v_0_5
6,IHTAR_20210413_DT_13_46,0.9453781512605042,Pos_v_0_5
7,IHTAR_20210413_DT_15_43,0.8888888888888888,Pos_v_0_5
8,IHTAR_20210416_DT_11_25,0.9602272727272727,Pos_v_0_5
9,IHTAR_20210416_DT_11_30,1.0,Pos_v_0_5
10,IHTAR_20210416_DT_11_48,0.9694656488549618,Pos_v_0_5
11,IHTAR_20210416_DT_12_09,1.0,Pos_v_0_5
12,IHTAR_20210618_DT_14_43,1.0,Pos_v_0_5
13,IHTAR_20211209_DT_13_52,1.0,Pos_v_0_5
14,IHTAR_20211209_DT_14_38,0.9977220956719818,Pos_v_0_5
15,IHTAR_20211214_DT_11_13,1.0,Pos_v_0_5
16,IHTAR_20210318_R1_DT_11_48,0.8306878306878307,Pos_v_0_8
17,IHTAR_20210321_R1_Part2_DT_12_47,0.743801652892562,Pos_v_0_8
18,IHTAR_20210321_R1_Part2_DT_14_08,1.0,Pos_v_0_8
19,IHTAR_20210321_R1_Part2_DT_14_14,0.9322033898305084,Pos_v_0_8
20,IHTAR_20210413_DT_12_06,0.9328358208955224,Pos_v_0_8
21,IHTAR_20210413_DT_13_25,0.9282051282051282,Pos_v_0_8
22,IHTAR_20210413_DT_13_46,1.0,Pos_v_0_8
23,IHTAR_20210413_DT_15_43,1.0,Pos_v_0_8
24,IHTAR_20210416_DT_11_25,1.0,Pos_v_0_8
25,IHTAR_20210416_DT_11_30,1.0,Pos_v_0_8
26,IHTAR_20210416_DT_11_48,1.0,Pos_v_0_8
27,IHTAR_20210416_DT_12_09,1.0,Pos_v_0_8
28,IHTAR_20210618_DT_14_43,1.0,Pos_v_0_8
29,IHTAR_20211209_DT_13_52,1.0,Pos_v_0_8
30,IHTAR_20211209_DT_14_38,1.0,Pos_v_0_8
31,IHTAR_20211214_DT_11_13,0.8617886178861789,Pos_v_0_8
32,IHTAR_20210318_R1_DT_11_48,0.923728813559322,Pos_v_1_2
33,IHTAR_20210321_R1_Part2_DT_12_47,0.8918918918918919,Pos_v_1_2
34,IHTAR_20210321_R1_Part2_DT_14_08,0.935064935064935,Pos_v_1_2
35,IHTAR_20210321_R1_Part2_DT_14_14,1.0,Pos_v_1_2
36,IHTAR_20210413_DT_12_06,1.0,Pos_v_1_2
37,IHTAR_20210413_DT_13_25,0.9274193548387096,Pos_v_1_2
38,IHTAR_20210413_DT_13_46,0.9540229885057471,Pos_v_1_2
39,IHTAR_20210413_DT_15_43,0.9574468085106383,Pos_v_1_2
40,IHTAR_20210416_DT_11_25,1.0,Pos_v_1_2
41,IHTAR_20210416_DT_11_30,1.0,Pos_v_1_2
42,IHTAR_20210416_DT_11_48,0.8269230769230769,Pos_v_1_2
43,IHTAR_20210416_DT_12_09,0.6,Pos_v_1_2
44,IHTAR_20210618_DT_14_43,0.9263157894736842,Pos_v_1_2
45,IHTAR_20211209_DT_13_52,0.7966101694915254,Pos_v_1_2
46,IHTAR_20211209_DT_14_38,0.6766467065868264,Pos_v_1_2
47,IHTAR_20211214_DT_11_13,0.6425531914893617,Pos_v_1_2
48,IHTAR_20210318_R1_DT_11_48,0.9333333333333333,Pos_v_1_5
49,IHTAR_20210321_R1_Part2_DT_12_47,0.4642857142857143,Pos_v_1_5
50,IHTAR_20210321_R1_Part2_DT_14_08,0.5084745762711864,Pos_v_1_5
51,IHTAR_20210321_R1_Part2_DT_14_14,1.0,Pos_v_1_5
52,IHTAR_20210413_DT_12_06,1.0,Pos_v_1_5
53,IHTAR_20210413_DT_13_25,0.7083333333333334,Pos_v_1_5
54,IHTAR_20210413_DT_13_46,0.7794117647058824,Pos_v_1_5
55,IHTAR_20210413_DT_15_43,0.8055555555555556,Pos_v_1_5
56,IHTAR_20210416_DT_11_25,1.0,Pos_v_1_5
57,IHTAR_20210416_DT_11_30,1.0,Pos_v_1_5
58,IHTAR_20210416_DT_11_48,0.4878048780487805,Pos_v_1_5
59,IHTAR_20210416_DT_12_09,0.2765957446808511,Pos_v_1_5
60,IHTAR_20210618_DT_14_43,0.5466666666666666,Pos_v_1_5
61,IHTAR_20211209_DT_13_52,0.6373626373626373,Pos_v_1_5
62,IHTAR_20211209_DT_14_38,0.41732283464566927,Pos_v_1_5
63,IHTAR_20211214_DT_11_13,0.425414364640884,Pos_v_1_5
